entri_id,entri,keyakinan,subtipe_reduplikasi,kode_tagar_disisipkan
44714,"awang-gemawang",sedang,R.wasana,"R"
44839,"ayun-temayun",sedang,R.wasana,"R"
46801,"bedil-bedal",sedang,R.salin,"ber+R"
63767,"bekerdom-kerdom",sedang,R.wasana,"ber+R"
63946,"bekerjap-kerjap",sedang,R.wasana,"ber+R"
64010,"bekertak-kertak",sedang,R.wasana,"ber+R"
41719,"beradik-berkakak",sedang,R.purwa,"ber+R"
51020,"bercoreng-moreng",sedang,R.wasana,"ber+R"
51202,"bercura-bura",sedang,R.wasana,"ber+R"
81429,"berselang-tenggang",sedang,R.wasana,"ber+R"
49762,"calar-balar",sedang,R.wasana,"R"
49803,"campang-camping",sedang,R.salin,"R"
50049,"carut-marut",sedang,R.wasana,"R"
50054,"carut-marut",sedang,R.wasana,"R"
50138,"cebar-cebur",sedang,R.salin,"R"
50346,"celas-celus",sedang,R.salin,"R"
70834,"cengking-mengking",sedang,R.wasana,"R"
50646,"ceruk-meruk",sedang,R.wasana,"R"
50774,"cingak-cinguk",sedang,R.salin,"R"
50815,"cirit-birit",sedang,R.wasana,"R"
50951,"condong-mondong",sedang,R.wasana,"R"
51012,"coreng-moreng",sedang,R.wasana,"R"
51711,"dansa-dansi",sedang,R.purwa,"R+i"
52053,"dayung-mayung",sedang,R.wasana,"R"
52061,"debak-debuk",sedang,R.salin,"R"
52502,"derak-derik",sedang,R.salin,"R"
55694,"genjrang-genjreng",sedang,R.salin,"R"
55740,"gerabak-gerubuk",sedang,R.salin,"R"
55870,"geriak-geriuk",sedang,R.salin,"R"
55888,"gerit-gerit putih",sedang,R.purwa,"R"
55931,"geruh-gerah",sedang,R.salin,"R"
56018,"getak-getuk",sedang,R.salin,"R"
56020,"gial-giul",sedang,R.salin,"R"
56087,"gilang-gemilang",sedang,R.wasana,"R"
56088,"gilap-gemilap",sedang,R.wasana,"R"
56590,"gunung-gemunung",sedang,R.wasana,"R"
58835,"inca-binca",sedang,R.wasana,"R"
60324,"jendal-jendul",sedang,R.salin,"R"
60338,"jenggar-jenggur",sedang,R.salin,"R"
60353,"jengkang-jengkot",sedang,R.purwa,"R"
60420,"jerah-jerih",sedang,R.salin,"R"
60872,"jungkat-jungkit",sedang,R.salin,"R"
62072,"karut-marut",sedang,R.wasana,"R"
62455,"kawin-mawin",sedang,R.wasana,"R"
62582,"kebat-kebit",sedang,R.salin,"ke+R"
62666,"kecomak-kecimik",sedang,R.salin,"ke+R"
62726,"kedekak-kedekik",sedang,R.salin,"ke+R"
63294,"kemak-kemik",sedang,R.salin,"ke+R"
63306,"kempas-kempis",sedang,R.salin,"ke+R"
63390,"kencang-kencung",sedang,R.salin,"ke+R"
63470,"kenyat-kenyit",sedang,R.salin,"ke+R"
63996,"kerang-kerot",sedang,R.purwa,"ke+R"
63682,"kerang-keruk",sedang,R.purwa,"ke+R"
63975,"kerobat-kerabit",sedang,R.salin,"ke+R"
64227,"ketap-ketip",sedang,R.salin,"ke+R"
67110,"lantung-lantang",sedang,R.salin,"R"
67430,"lauk-pauk",sedang,R.wasana,"R"
68151,"lenggak-lenggok",sedang,R.salin,"R"
68248,"lentang-lentok",sedang,R.purwa,"R"
68236,"lentang-lentung",sedang,R.salin,"R"
68409,"letah-letai",sedang,R.purwa,"R+i"
68936,"liat-liut",sedang,R.salin,"R"
74647,"pekik-pekuk",sedang,R.salin,"peng+R"
75347,"pernak-pernik",sedang,R.salin,"peng+R"
75657,"piat-piut",sedang,R.salin,"R"
78196,"redep-redup",sedang,R.salin,"R"
78397,"rembah-rembih",sedang,R.salin,"R"
78420,"remeh-cemeh",sedang,R.wasana,"R"
78419,"remeh-temeh",sedang,R.wasana,"R"
78995,"rompang-romping",sedang,R.salin,"R"
80983,"sayur-mayur",sedang,R.wasana,"R"
46980,"selar-belar",sedang,R.wasana,"se+R"
82155,"senggang-tenggang",sedang,R.wasana,"se+R"
82709,"serak-serik",sedang,R.salin,"se+R"
82636,"serba-serbi",sedang,R.purwa,"se+R+i"
83350,"silir-semilir",sedang,R.wasana,"R"
83461,"sinar-seminar",sedang,R.wasana,"R"
83462,"sinar-suminar",sedang,R.wasana,"R"
85111,"tabir-mabir",sedang,R.wasana,"R"
85697,"tali-temali",sedang,R.wasana,"R+i"
85722,"talun-temalun",sedang,R.wasana,"R"
86986,"tayum-temayum",sedang,R.wasana,"R"
51017,"tercoreng-moreng",sedang,R.wasana,"ter+R"
88931,"tirai-mirai",sedang,R.wasana,"R+i"
89970,"tunggang-tunggik",sedang,R.purwa,"R"
89959,"tunggang-tungging",sedang,R.salin,"R"
89971,"tunggang-tunggit",sedang,R.purwa,"R"
90148,"turun-temurun",sedang,R.wasana,"R"
