et_id,indeks,hom_et,kategori,en_id,en_entri,en_hom,skor,alasan
1,A,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: A(hom=None), a-(hom=None), a(hom=None)"
552,Aljalil,1,MANUAL,,,,0,tidak ada entri
795,Anda,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: Anda(hom=None), -anda(hom=None)"
844,angker,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: angker (1)(hom=1), angker (2)(hom=2)"
849,angkong,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: angkong (1)(hom=1), angkong (2)(hom=2)"
1032,apek,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: apek(hom=None), apek(hom=None)"
1137,aria,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: aria (1)(hom=1), Aria (2)(hom=2)"
1216,as,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: as (1)(hom=1), as (2)(hom=2), as (3)(hom=3)"
1535,ayat,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ayat (1)(hom=1), ayat (2)(hom=2)"
1540,azal,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: azal (1)(hom=1), azal (2)(hom=2)"
1690,ban,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ban (1)(hom=1), ban (2)(hom=2), ban (3)(hom=3)"
1854,becak,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: becak(hom=None), becak(hom=None)"
1871,bekel,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: bekel(hom=None), bekel(hom=None)"
1879,bel,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: bel-(hom=None), bel-(hom=None), bel (1)(hom=1)"
1880,bela,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: bela(hom=None), bela(hom=None)"
1896,belek,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: belek (1)(hom=1), belek (1)(hom=1), belek (2)(hom=2)"
1909,bena,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: bena(hom=None), bena(hom=None)"
1947,beraja,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: beraja(hom=None), beraja(hom=None)"
1955,berik,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: berik(hom=None), Berik(hom=None)"
1990,beti,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: beti(hom=None), beti(hom=None)"
2138,bis,6,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: bis (1)(hom=1), bis (2)(hom=2), bis (3)(hom=3)"
2248,boreh,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: boreh(hom=None), boreh(hom=None)"
2257,bos,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: bos (1)(hom=1), bos (2)(hom=2)"
2403,C,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: C(hom=None), c(hom=None)"
2417,cakela,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: cakela(hom=None), cakela(hom=None)"
2491,cela,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: cela(hom=None), cela(hom=None)"
16450,ceri,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ceri(hom=None), ceri(hom=None)"
16451,ceri,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ceri(hom=None), ceri(hom=None)"
16439,ces,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ces(hom=None), ces(hom=None)"
16410,cita,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: cita (1)(hom=1), cita (2)(hom=2)"
16411,cita,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: cita (1)(hom=1), cita (2)(hom=2)"
16365,D,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: D(hom=None), d(hom=None)"
16306,dam,5,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: dam (1)(hom=1), dam (2)(hom=2), dam (3)(hom=3)"
16307,dam,6,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: dam (1)(hom=1), dam (2)(hom=2), dam (3)(hom=3)"
16232,debut,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: debut(hom=None), debut(hom=None)"
16179,dekan,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: dekan(hom=None), dekan(hom=None)"
15788,disel,1,PROBABLE,8527,disel,,0.2,"Jaccard=0.200, 2 kandidat"
15651,dop,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: dop (1)(hom=1), dop (2)(hom=2)"
15544,dus,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: dus (1)(hom=1), dus (2)(hom=2)"
15124,endosmosis,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: endosmosis(hom=None), endosmosis(hom=None)"
14412,gala-gala,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: gala-gala(hom=None), gala-gala(hom=None)"
13829,helai,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: helai(hom=None), helai(hom=None)"
13807,hem,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: hem(hom=None), hem(hom=None)"
12771,J,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: J(hom=None), j(hom=None)"
12666,jeli,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: jeli(hom=None), jeli(hom=None)"
12495,kaf,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kaf (1)(hom=1), kaf (2)(hom=2)"
12370,kamar,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kamar (1)(hom=1), kamar (2)(hom=2)"
12269,kap,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kap (1)(hom=1), kap (2)(hom=2)"
12105,kasa,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kasa (1)(hom=1), kasa (2)(hom=2), kasa (3)(hom=3)"
11948,kelah,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kelah(hom=None), kelah(hom=None)"
11936,kelenteng,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kelenteng(hom=None), kelenteng(hom=None), kelenteng(hom=None)"
11931,kelesa,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kelesa(hom=None), kelesa(hom=None)"
11874,kepar,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kepar(hom=None), kepar(hom=None)"
11824,kesohor,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kesohor(hom=None), kesohor(hom=None)"
11819,ketel,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ketel(hom=None), ketel(hom=None), ketel(hom=None)"
11735,kia-kia,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kia-kia(hom=None), kia-kia(hom=None)"
11467,kol,5,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kol (1)(hom=1), kol (2)(hom=2), kol (3)(hom=3)"
11468,kol,6,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kol (1)(hom=1), kol (2)(hom=2), kol (3)(hom=3)"
10998,kornet,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: kornet (1)(hom=1), kornet (2)(hom=2)"
10984,korsase,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: korsase(hom=None), korsase(hom=None)"
10689,L,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: L(hom=None), l(hom=None)"
10233,leding,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: leding(hom=None), leding(hom=None)"
10501,les,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: les (1)(hom=1), les (2)(hom=2), les (3)(hom=3)"
10381,mandarin,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: mandarin (1)(hom=1), mandarin (2)(hom=2)"
7033,melamin,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: melamin(hom=None), melamin(hom=None)"
7018,mem,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: mem-(hom=None), mem-(hom=None)"
7009,men,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: men-(hom=None), men(hom=None), men-(hom=None)"
9527,meruah,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: meruah(hom=None), meruah(hom=None), meruah(hom=None)"
9498,meta,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: meta-(hom=None), meta(hom=None)"
9326,Mintuna,1,PROBABLE,24780,Mintuna,,0.5,"Jaccard=0.500, 2 kandidat"
9327,Mintuna,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: mintuna(hom=None), Mintuna(hom=None)"
8876,mutah,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: mutah(hom=None), mutah(hom=None)"
8877,mutah,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: mutah(hom=None), mutah(hom=None)"
8279,open,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: open(hom=None), open(hom=None)"
7700,pedal,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pedal(hom=None), pedal(hom=None)"
7668,pel,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pel-(hom=None), pel (1)(hom=1), pel (2)(hom=2)"
7669,pel,5,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pel-(hom=None), pel (1)(hom=1), pel (2)(hom=2)"
7661,pelan,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pelan(hom=None), pelan(hom=None)"
7662,pelan,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pelan(hom=None), pelan(hom=None)"
7659,pelat,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pelat(hom=None), pelat(hom=None)"
7650,pelikan,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pelikan(hom=None), pelikan(hom=None)"
7624,pening,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pening(hom=None), pening(hom=None)"
7591,per,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: per (1)(hom=1), per (1)(hom=1), per (2)(hom=2)"
7592,per,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: per (1)(hom=1), per (1)(hom=1), per (2)(hom=2)"
7593,per,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: per (1)(hom=1), per (1)(hom=1), per (2)(hom=2)"
7582,perawi,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: perawi(hom=None), perawi(hom=None)"
7430,pesanggrahan,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pesanggrahan(hom=None), pesanggrahan(hom=None)"
7428,pesero,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pesero(hom=None), pesero(hom=None)"
7427,pesiar,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pesiar(hom=None), pesiar(hom=None)"
7416,petal,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: petal(hom=None), petal(hom=None)"
7222,pol,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: pol (1)(hom=1), pol (2)(hom=2), pol (3)(hom=3)"
7176,polis,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: polis (1)(hom=1), polis (2)(hom=2)"
7177,polis,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: polis (1)(hom=1), polis (2)(hom=2)"
7122,ponten,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ponten(hom=None), ponten(hom=None)"
7123,ponten,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ponten(hom=None), ponten(hom=None)"
6457,reda,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: reda(hom=None), reda(hom=None)"
6136,rim,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: rim (1)(hom=1), rim (2)(hom=2)"
6088,rok,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: rok (1)(hom=1), rok (2)(hom=2)"
6059,ronde,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ronde(hom=None), ronde(hom=None)"
5978,S,3,MANUAL,,,,0.036,"Jaccard terlalu rendah (0.036), kandidat: s(hom=None), s(hom=None), S (1)(hom=1)"
5979,S,4,MANUAL,,,,0.036,"Jaccard terlalu rendah (0.036), kandidat: s(hom=None), s(hom=None), S (1)(hom=1)"
5980,S,5,MANUAL,,,,0.031,"Jaccard terlalu rendah (0.031), kandidat: s(hom=None), s(hom=None), S (1)(hom=1)"
5962,Sabat,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sabat(hom=None), Sabat(hom=None)"
5963,Sabat,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sabat(hom=None), Sabat(hom=None)"
5964,Sabat,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sabat(hom=None), Sabat(hom=None)"
5965,Sabat,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sabat(hom=None), Sabat(hom=None)"
5764,Samin,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: samin(hom=None), Samin(hom=None)"
5755,samseng,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: samseng(hom=None), samseng(hom=None)"
5756,samseng,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: samseng(hom=None), samseng(hom=None)"
5614,seba,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: seba(hom=None), seba(hom=None)"
5608,sedan,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sedan(hom=None), sedan(hom=None)"
5570,seka,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: seka(hom=None), seka(hom=None)"
5569,sekadar,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sekadar(hom=None), sekadar(hom=None)"
5567,Sekak,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: Sekak(hom=None), sekak(hom=None)"
5563,sekali,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sekali(hom=None), sekali(hom=None)"
5562,sekan,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sekan(hom=None), sekan(hom=None)"
5488,Selam,1,PROBABLE,33746,Selam,,0.5,"Jaccard=0.500, 2 kandidat"
5399,sena,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sena(hom=None), sena(hom=None)"
5400,sena,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sena(hom=None), sena(hom=None)"
5388,sender,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sender(hom=None), sender(hom=None)"
5378,sengkelat,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sengkelat(hom=None), sengkelat(hom=None)"
5275,serai,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: serai(hom=None), serai(hom=None)"
5270,serap,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: serap(hom=None), serap(hom=None)"
5268,serasa,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: serasa(hom=None), serasa(hom=None)"
5246,seri,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: seri (1)(hom=1), seri (1)(hom=1), seri (2)(hom=2)"
5247,seri,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: seri (1)(hom=1), seri (1)(hom=1), seri (2)(hom=2)"
5196,setala,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: setala(hom=None), setala(hom=None)"
5160,seti,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: seti(hom=None), seti(hom=None)"
5113,si,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: si-(hom=None), si (1)(hom=1), si- (1)(hom=1)"
5114,si,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: si-(hom=None), si (1)(hom=1), si- (1)(hom=1)"
4728,sonder,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: sonder(hom=None), sonder(hom=None)"
4614,spektroskop,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: spektroskop(hom=None), spektroskop(hom=None)"
4262,super,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: super(hom=None), super-(hom=None)"
4064,taat asas,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: taat asas(hom=None), taat asas(hom=None)"
3745,tebar,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: tebar(hom=None), tebar(hom=None)"
3737,teja,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: teja(hom=None), teja(hom=None)"
3733,tekat,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: tekat(hom=None), tekat(hom=None)"
3700,tel,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: tel(hom=None), tel(hom=None)"
3641,tempo,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: tempo(hom=None), tempo(hom=None)"
3642,tempo,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: tempo(hom=None), tempo(hom=None)"
3603,ter,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ter- (1)(hom=1), ter (1)(hom=1), ter- (2)(hom=2)"
3604,ter,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: ter- (1)(hom=1), ter (1)(hom=1), ter- (2)(hom=2)"
3580,terhal,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: terhal(hom=None), terhal(hom=None)"
3571,terjali,1,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: terjali(hom=None), terjali(hom=None)"
3468,tip,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: tip (1)(hom=1), tip (2)(hom=2)"
3469,tip,4,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: tip (1)(hom=1), tip (2)(hom=2)"
2794,warid,3,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: warid (1)(hom=1), warid (2)(hom=2)"
2657,Y,2,MANUAL,,,,0.0,"Jaccard terlalu rendah (0.000), kandidat: Y(hom=None), y(hom=None)"
